
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009445                       # Number of seconds simulated (Second)
simTicks                                   9445165000                       # Number of ticks simulated (Tick)
finalTick                                  9445165000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    470.04                       # Real time elapsed on the host (Second)
hostTickRate                                 20094557                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     713952                       # Number of bytes of host memory used (Byte)
simInsts                                     56526772                       # Number of instructions simulated (Count)
simOps                                      110843241                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   120260                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     235819                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         37780661                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.668368                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.496183                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       116289145                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      176                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      114260311                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  70519                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5446074                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          11410260                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 110                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            37562654                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.041859                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.391854                       # Number of insts issued each cycle (Count)
system.cpu.fpInstQueueWakeupAccesses         23488291                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    91683770                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                     24471470                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numRecvResp                       19799726                       # Number of received responses (Count)
system.cpu.numRecvRespBytes                 129906752                       # Number of received response bytes (Byte)
system.cpu.recvRespAvgBW                         3.44                       # Average bandwidth of received responses ((Byte/Cycle))
system.cpu.recvRespAvgSize                       6.56                       # Average packet size per received response ((Byte/Count))
system.cpu.recvRespAvgRate                       0.52                       # Average rate of received responses per cycle ((Count/Cycle))
system.cpu.recvRespAvgRetryRate                  0.00                       # Average retry rate per received response ((Count/Count))
system.cpu.numSendRetryResp                         0                       # Number of retry responses sent (Count)
system.cpu.numSquashedInsts                    445174                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                            1118                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          218007                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads       14924626                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores       6039796                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads        98748                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores        19020                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.bac.fetchTargets                         0                       # Number of fetch targets created  (Count)
system.cpu.bac.branches                      12508153                       # Number of branches that BAC encountered (Count)
system.cpu.bac.predTakenBranches              7592349                       # Number of branches that BAC predicted taken. (Count)
system.cpu.bac.branchesNotLastuOp                   0                       # Number of branches that fetch encountered which are not the last uOp within a macrooperation. Jump to itself. (Count)
system.cpu.bac.branchMisspredict               217236                       # Number of mispredicted branches (Count)
system.cpu.bac.noBranchMisspredict              11819                       # Number of non-branch instructions mispredicted (Count)
system.cpu.bac.squashBranchDecode               13810                       # Number of branches squashed from decode (Count)
system.cpu.bac.squashBranchCommit              203426                       # Number of branches squashed from commit (Count)
system.cpu.bac.preDecUpdate::NoBranch               0                       # Number of branches extracted from the predecoder (Count)
